Course Code,Prefix,Course ID,Course Title,Section,Seat Limit,Seat Used,Seat Left,Start Time,End Time,Instructor Name,Remark,Session,Day Number,Day,Midterm Date,Midterm Start,Midterm End,Final Date,Final Start,Final End,Order
CE4902,CE,1637,COMPUTER ENGINEERING PROJECT II,641,20,2,18,18:00:00,19:00:00,SNEHA PAUDEL,Exams will be arranged by the instructor.,Afternoon,5,Thursday,-,-,-,-,-,-,59
EE2201,EE,2825,ELECTRIC CIRCUITS,641,40,34,6,15:00:00,16:30:00,VORAPOJ PATANAVIJIT,Pre-REQUISITE: BG1205 Calculus II and BG1213 Physics II,Afternoon,3,Tuesday,2025-07-31T00:00:00,15:00:00,17:00:00,2025-10-03T00:00:00,9:00:00,12:00:00,60
EE2202,EE,2826,ELECTRIC CIRCUITS LABORATORY,641,20,10,10,13:30:00,16:30:00,SAJED HABIB,Pre-REQUISITE: BG1214 Physics Lab II and Co-REQUISITE: EE2201 Electric Circuit. Exams will be arranged by the instructor.,Afternoon,2,Monday,-,-,-,-,-,-,61
EE2202,EE,2826,ELECTRIC CIRCUITS LABORATORY,642,20,7,13,9:00:00,12:00:00,SAJED HABIB,Pre-REQUISITE: BG1214 Physics Lab II and Co-REQUISITE: EE2201 Electric Circuit. Exams will be arranged by the instructor.,Morning,4,Wednesday,-,-,-,-,-,-,62
EE2202,EE,2826,ELECTRIC CIRCUITS LABORATORY,643,20,5,15,13:30:00,16:30:00,SAJED HABIB,Pre-REQUISITE: BG1214 Physics Lab II and Co-REQUISITE: EE2201 Electric Circuit. Exams will be arranged by the instructor.,Afternoon,4,Wednesday,-,-,-,-,-,-,63
EE2203,EE,2827,SIGNALS AND SYSTEMS,641,30,2,24,10:30:00,12:00:00,VORAPOJ PATANAVIJIT,,Morning,3,Tuesday,2025-08-04T00:00:00,12:00:00,14:00:00,2025-10-07T00:00:00,13:00:00,16:00:00,64
EE2401,EE,2828,ELECTROMECHANICAL ENERGY CONVERSION,641,40,1,9,13:30:00,15:00:00,RATTHAPHOL HONGDILOKKUL,,Afternoon,3,Tuesday,2025-07-31T00:00:00,12:00:00,14:00:00,2025-10-02T00:00:00,13:00:00,16:00:00,65
EE2402,EE,2829,ELECTROMECHANICAL ENERGY CONVERSION LABORATORY,641,20,2,3,9:00:00,12:00:00,RATTHAPHOL HONGDILOKKUL,Codeshare with EE2411 **Exams will be arranged by the instructor.,Morning,6,Friday,-,-,-,-,-,-,66
EE2402,EE,2829,ELECTROMECHANICAL ENERGY CONVERSION LABORATORY,642,20,0,9,13:30:00,16:30:00,RATTHAPHOL HONGDILOKKUL,Codeshare with EE2411 **Exams will be arranged by the instructor.,Afternoon,6,Friday,-,-,-,-,-,-,67
EE2605,EE,2834,ENGINEERING ELECTRONICS,641,50,43,7,10:30:00,12:00:00,SAJED HABIB,Pre-REQUISITE: BG1213 Physics II.,Morning,3,Tuesday,2025-08-01T00:00:00,9:00:00,11:00:00,2025-10-03T00:00:00,13:00:00,16:00:00,68
EE2606,EE,2835,ENGINEERING ELECTRONICS LABORATORY,555,1,0,1,0:00:00,0:00:00,"TET TOE ",270/2568,Morning,1,Sunday,-,-,-,-,-,-,69
EE2606,EE,2835,ENGINEERING ELECTRONICS LABORATORY,641,20,20,0,9:00:00,12:00:00,"TET TOE ",Co-REQUISITE: EE2605 Engineering Electronics. Exams will be arranged by the instructor.,Morning,2,Monday,-,-,-,-,-,-,70
EE2606,EE,2835,ENGINEERING ELECTRONICS LABORATORY,642,20,21,0,13:30:00,16:30:00,"TET TOE ",Co-REQUISITE: EE2605 Engineering Electronics. Exams will be arranged by the instructor.,Afternoon,4,Wednesday,-,-,-,-,-,-,71
EE3301,EE,2836,ELECTROMAGNETIC FIELDS,641,30,8,22,9:00:00,12:00:00,JERAPONG ROJANAROWAN,Pre-REQUISITE: BG1205 Calculus II and BG1213 Physics II.,Morning,4,Wednesday,2025-08-01T00:00:00,9:00:00,11:00:00,2025-10-03T00:00:00,13:00:00,16:00:00,72
EE3402,EE,2839,ELECTRICAL MACHINES,641,20,11,9,10:30:00,12:00:00,WARONGKIDH GANCHANASOPA,"Pre-REQUISITE: EE2410 Electrical Machine Systems ",Morning,3,Tuesday,2025-08-04T00:00:00,9:00:00,11:00:00,2025-10-07T00:00:00,9:00:00,12:00:00,73
EE3403,EE,2840,ELECTRICAL MACHINES LABORATORY,555,0,1,0,0:00:00,0:00:00,WARONGKIDH GANCHANASOPA,,Morning,1,Sunday,-,-,-,-,-,-,74
EE3403,EE,2840,ELECTRICAL MACHINES LABORATORY,641,20,12,8,13:30:00,16:30:00,WARONGKIDH GANCHANASOPA,Co-REQUISITE: EE3402 Electrical Machines. Exams will be arranged by the instructor.,Afternoon,4,Wednesday,-,-,-,-,-,-,75
EE3405,EE,2842,DIGITAL CONTROL SYSTEMS,641,0,4,0,15:00:00,18:00:00,HARIN PONGPAIROJ,,Afternoon,3,Tuesday,-,-,-,-,-,-,76
EE3601,EE,2845,ELECTRONIC CIRCUIT DESIGN,641,0,0,0,16:30:00,18:00:00,AMULYA BHATTARAI,Independent Study: 264/2568 (Open for student ID 6440039),Afternoon,2,Monday,-,-,-,-,-,-,77
EE3602,EE,2846,ELECTRONIC CIRCUIT DESIGN LABORATORY,641,0,0,0,15:00:00,18:00:00,AMULYA BHATTARAI,Independent Study: 264/2568 (Open for student ID 6440039),Afternoon,3,Tuesday,-,-,-,-,-,-,78
EE3606,EE,2847,ELECTRICAL INSTRUMENTS AND MEASUREMENTS,641,30,10,20,9:00:00,12:00:00,ALLAPON HUTASINGH,Pre-REQUISITE: EE2201 Electric Circuits and EE2605 Engineering Electronics,Morning,2,Monday,2025-07-31T00:00:00,9:00:00,11:00:00,2025-10-02T00:00:00,9:00:00,12:00:00,79
EE3705,EE,2850,MICROPROCESSORS AND MICROCONTROLLERS,641,30,30,0,13:30:00,16:30:00,SUNPHONG THANOK,Pre-REQUISITE: CE2704 Digital Logic Design. Exams will be arranged by the instructor.,Afternoon,6,Friday,-,-,-,-,-,-,80
EE4501,EE,2861,POWER SYSTEM ANALYSIS,641,30,10,20,10:30:00,12:00:00,RATTHAPHOL HONGDILOKKUL,Pre-REQUISITE: EE2410 Electrical Machine Systems or EE3402 Electrical Machines.,Morning,3,Tuesday,2025-07-30T00:00:00,9:00:00,11:00:00,2025-09-30T00:00:00,13:00:00,16:00:00,81
EE4503,EE,2863,ELECTRICAL SYSTEMS DESIGN,641,30,10,20,9:00:00,12:00:00,WARONGKIDH GANCHANASOPA,Pre-REQUISITE: EE2410 Electrical Machine Systems or EE3402 Electrical Machines.,Morning,2,Monday,2025-07-31T00:00:00,15:00:00,17:00:00,2025-10-03T00:00:00,9:00:00,12:00:00,82
EE4506,EE,2866,HIGH VOLTAGE ENGINEERING,641,30,9,21,13:30:00,15:00:00,AMULYA BHATTARAI,Pre-REQUISITE: EE3301 Electromagnetic Fields,Afternoon,2,Monday,2025-08-04T00:00:00,9:00:00,11:00:00,2025-10-07T00:00:00,9:00:00,12:00:00,83
EE4705,EE,2879,POWER ELECTRONICS,641,6,6,0,9:00:00,10:30:00,WARONGKIDH GANCHANASOPA,,Morning,3,Tuesday,2025-08-01T00:00:00,15:00:00,17:00:00,2025-10-06T00:00:00,13:00:00,16:00:00,84
